s_fpssm0,s_fpssm1,s_fpssm2,s_fpssm3,s_fpssm4,s_fpssm5,s_fpssm6,s_fpssm7,s_fpssm8,s_fpssm9,s_fpssm10,s_fpssm11,s_fpssm12,s_fpssm13,s_fpssm14,s_fpssm15,s_fpssm16,s_fpssm17,s_fpssm18,s_fpssm19,s_fpssm20,s_fpssm21,s_fpssm22,s_fpssm23,s_fpssm24,s_fpssm25,s_fpssm26,s_fpssm27,s_fpssm28,s_fpssm29,s_fpssm30,s_fpssm31,s_fpssm32,s_fpssm33,s_fpssm34,s_fpssm35,s_fpssm36,s_fpssm37,s_fpssm38,s_fpssm39,s_fpssm40,s_fpssm41,s_fpssm42,s_fpssm43,s_fpssm44,s_fpssm45,s_fpssm46,s_fpssm47,s_fpssm48,s_fpssm49,s_fpssm50,s_fpssm51,s_fpssm52,s_fpssm53,s_fpssm54,s_fpssm55,s_fpssm56,s_fpssm57,s_fpssm58,s_fpssm59,s_fpssm60,s_fpssm61,s_fpssm62,s_fpssm63,s_fpssm64,s_fpssm65,s_fpssm66,s_fpssm67,s_fpssm68,s_fpssm69,s_fpssm70,s_fpssm71,s_fpssm72,s_fpssm73,s_fpssm74,s_fpssm75,s_fpssm76,s_fpssm77,s_fpssm78,s_fpssm79,s_fpssm80,s_fpssm81,s_fpssm82,s_fpssm83,s_fpssm84,s_fpssm85,s_fpssm86,s_fpssm87,s_fpssm88,s_fpssm89,s_fpssm90,s_fpssm91,s_fpssm92,s_fpssm93,s_fpssm94,s_fpssm95,s_fpssm96,s_fpssm97,s_fpssm98,s_fpssm99,s_fpssm100,s_fpssm101,s_fpssm102,s_fpssm103,s_fpssm104,s_fpssm105,s_fpssm106,s_fpssm107,s_fpssm108,s_fpssm109,s_fpssm110,s_fpssm111,s_fpssm112,s_fpssm113,s_fpssm114,s_fpssm115,s_fpssm116,s_fpssm117,s_fpssm118,s_fpssm119,s_fpssm120,s_fpssm121,s_fpssm122,s_fpssm123,s_fpssm124,s_fpssm125,s_fpssm126,s_fpssm127,s_fpssm128,s_fpssm129,s_fpssm130,s_fpssm131,s_fpssm132,s_fpssm133,s_fpssm134,s_fpssm135,s_fpssm136,s_fpssm137,s_fpssm138,s_fpssm139,s_fpssm140,s_fpssm141,s_fpssm142,s_fpssm143,s_fpssm144,s_fpssm145,s_fpssm146,s_fpssm147,s_fpssm148,s_fpssm149,s_fpssm150,s_fpssm151,s_fpssm152,s_fpssm153,s_fpssm154,s_fpssm155,s_fpssm156,s_fpssm157,s_fpssm158,s_fpssm159,s_fpssm160,s_fpssm161,s_fpssm162,s_fpssm163,s_fpssm164,s_fpssm165,s_fpssm166,s_fpssm167,s_fpssm168,s_fpssm169,s_fpssm170,s_fpssm171,s_fpssm172,s_fpssm173,s_fpssm174,s_fpssm175,s_fpssm176,s_fpssm177,s_fpssm178,s_fpssm179,s_fpssm180,s_fpssm181,s_fpssm182,s_fpssm183,s_fpssm184,s_fpssm185,s_fpssm186,s_fpssm187,s_fpssm188,s_fpssm189,s_fpssm190,s_fpssm191,s_fpssm192,s_fpssm193,s_fpssm194,s_fpssm195,s_fpssm196,s_fpssm197,s_fpssm198,s_fpssm199,s_fpssm200,s_fpssm201,s_fpssm202,s_fpssm203,s_fpssm204,s_fpssm205,s_fpssm206,s_fpssm207,s_fpssm208,s_fpssm209,s_fpssm210,s_fpssm211,s_fpssm212,s_fpssm213,s_fpssm214,s_fpssm215,s_fpssm216,s_fpssm217,s_fpssm218,s_fpssm219,s_fpssm220,s_fpssm221,s_fpssm222,s_fpssm223,s_fpssm224,s_fpssm225,s_fpssm226,s_fpssm227,s_fpssm228,s_fpssm229,s_fpssm230,s_fpssm231,s_fpssm232,s_fpssm233,s_fpssm234,s_fpssm235,s_fpssm236,s_fpssm237,s_fpssm238,s_fpssm239,s_fpssm240,s_fpssm241,s_fpssm242,s_fpssm243,s_fpssm244,s_fpssm245,s_fpssm246,s_fpssm247,s_fpssm248,s_fpssm249,s_fpssm250,s_fpssm251,s_fpssm252,s_fpssm253,s_fpssm254,s_fpssm255,s_fpssm256,s_fpssm257,s_fpssm258,s_fpssm259,s_fpssm260,s_fpssm261,s_fpssm262,s_fpssm263,s_fpssm264,s_fpssm265,s_fpssm266,s_fpssm267,s_fpssm268,s_fpssm269,s_fpssm270,s_fpssm271,s_fpssm272,s_fpssm273,s_fpssm274,s_fpssm275,s_fpssm276,s_fpssm277,s_fpssm278,s_fpssm279,s_fpssm280,s_fpssm281,s_fpssm282,s_fpssm283,s_fpssm284,s_fpssm285,s_fpssm286,s_fpssm287,s_fpssm288,s_fpssm289,s_fpssm290,s_fpssm291,s_fpssm292,s_fpssm293,s_fpssm294,s_fpssm295,s_fpssm296,s_fpssm297,s_fpssm298,s_fpssm299,s_fpssm300,s_fpssm301,s_fpssm302,s_fpssm303,s_fpssm304,s_fpssm305,s_fpssm306,s_fpssm307,s_fpssm308,s_fpssm309,s_fpssm310,s_fpssm311,s_fpssm312,s_fpssm313,s_fpssm314,s_fpssm315,s_fpssm316,s_fpssm317,s_fpssm318,s_fpssm319,s_fpssm320,s_fpssm321,s_fpssm322,s_fpssm323,s_fpssm324,s_fpssm325,s_fpssm326,s_fpssm327,s_fpssm328,s_fpssm329,s_fpssm330,s_fpssm331,s_fpssm332,s_fpssm333,s_fpssm334,s_fpssm335,s_fpssm336,s_fpssm337,s_fpssm338,s_fpssm339,s_fpssm340,s_fpssm341,s_fpssm342,s_fpssm343,s_fpssm344,s_fpssm345,s_fpssm346,s_fpssm347,s_fpssm348,s_fpssm349,s_fpssm350,s_fpssm351,s_fpssm352,s_fpssm353,s_fpssm354,s_fpssm355,s_fpssm356,s_fpssm357,s_fpssm358,s_fpssm359,s_fpssm360,s_fpssm361,s_fpssm362,s_fpssm363,s_fpssm364,s_fpssm365,s_fpssm366,s_fpssm367,s_fpssm368,s_fpssm369,s_fpssm370,s_fpssm371,s_fpssm372,s_fpssm373,s_fpssm374,s_fpssm375,s_fpssm376,s_fpssm377,s_fpssm378,s_fpssm379,s_fpssm380,s_fpssm381,s_fpssm382,s_fpssm383,s_fpssm384,s_fpssm385,s_fpssm386,s_fpssm387,s_fpssm388,s_fpssm389,s_fpssm390,s_fpssm391,s_fpssm392,s_fpssm393,s_fpssm394,s_fpssm395,s_fpssm396,s_fpssm397,s_fpssm398,s_fpssm399
41,6,6,9,17,1,1,13,6,11,7,3,2,0,4,19,13,17,4,16,7,53,7,2,6,17,5,7,13,3,7,24,3,0,4,5,21,11,4,1,2,15,30,8,8,20,5,11,12,1,10,18,0,4,7,8,24,9,1,0,1,2,34,55,2,3,10,11,3,0,0,5,0,0,5,13,6,0,0,0,5,3,1,0,29,7,2,3,3,1,0,5,0,0,0,19,7,2,0,10,1,13,8,3,1,40,9,18,15,0,1,17,3,1,4,5,23,12,0,0,6,8,4,22,7,16,33,7,7,1,3,7,0,0,4,8,6,2,0,6,19,8,7,5,4,10,5,69,9,0,0,13,0,0,1,21,7,8,1,0,0,10,4,0,1,7,3,12,21,0,0,9,1,0,1,7,9,0,4,0,6,1,1,2,0,3,1,4,1,38,11,1,1,2,0,9,9,3,5,40,17,7,3,2,9,5,0,1,10,44,48,4,6,7,7,7,19,10,5,46,6,34,3,2,5,12,7,14,8,1,9,48,2,4,3,4,5,5,0,1,0,0,1,3,4,3,0,6,0,16,20,1,15,0,3,0,6,0,0,13,2,0,0,2,1,3,2,1,9,11,19,1,7,27,2,7,7,13,13,3,10,0,3,3,0,6,3,27,1,3,2,6,0,3,39,9,16,14,0,7,20,2,13,17,10,9,5,36,12,0,0,4,0,0,8,98,14,9,2,0,9,13,13,5,8,13,1,21,5,6,1,12,6,1,0,51,75,1,4,10,5,0,1,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,10,4,0,0,4,17,4,6,4,4,8,10,6,1,0,14,0,9,3,16,47,10,14,3,0,0,7,3,0,7,8,64,24,0,3,7,10,19,6,5,1,80
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,42,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,56,0,28,0,0,0,0,0,0,14,0,10,0,0,0,5,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,30,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,15,5,0,5,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,35,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,6,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,20,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,8
35,0,5,3,11,3,0,17,4,9,14,0,16,21,6,23,9,22,7,4,0,10,0,0,0,2,0,1,1,1,0,10,1,1,0,0,0,3,0,0,4,0,24,5,1,0,0,12,11,0,1,2,3,1,8,15,7,1,1,0,0,0,3,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,0,6,8,0,7,3,2,4,8,4,4,0,0,5,0,2,0,0,3,3,0,1,12,0,3,0,1,0,6,0,0,1,3,0,0,0,2,0,4,2,0,0,0,35,0,0,1,0,6,4,2,7,0,4,7,1,1,0,2,1,0,2,3,3,15,2,2,5,6,6,0,4,1,5,6,0,3,0,3,7,4,6,0,5,1,79,45,1,56,43,9,6,7,24,9,36,2,0,0,0,7,2,0,0,5,89,132,0,92,96,14,1,4,66,18,44,0,2,11,3,1,2,5,1,6,1,2,13,2,5,1,2,0,2,6,0,0,2,2,0,0,1,1,0,0,22,18,3,31,27,2,3,3,5,11,11,0,0,0,0,0,2,0,0,3,10,8,0,12,32,0,0,0,14,7,3,1,0,1,0,3,0,0,1,5,11,6,1,10,13,52,7,3,20,2,6,3,4,14,0,6,3,0,6,4,7,2,6,11,12,0,23,12,6,4,6,9,3,15,3,9,1,3,7,3,19,13,9,36,31,10,26,37,17,7,19,0,0,0,0,0,0,0,0,0,1,2,0,7,13,0,1,0,13,8,0,0,1,0,0,0,0,0,0,1,0,0,2,0,10,0,0,0,0,1,0,1,0,0,0,1,1,0,1,3,21,7,0,11,9,0,3,6,3,3,21
126,22,7,33,29,14,41,28,16,26,8,23,14,4,15,25,4,6,9,15,21,104,22,23,5,21,26,10,16,1,1,67,8,0,6,9,4,10,5,1,2,4,37,16,2,5,10,5,12,4,3,4,1,3,3,7,2,0,7,1,11,5,12,62,0,8,22,0,19,1,1,4,1,6,17,7,8,2,5,0,16,0,1,2,25,2,4,2,7,5,2,0,3,4,7,3,3,3,2,9,11,24,5,25,5,76,38,4,17,7,5,32,16,4,15,8,1,4,11,7,10,33,6,35,9,43,103,1,15,5,3,35,6,5,10,12,1,8,11,5,19,3,26,14,8,7,9,152,15,4,2,7,14,1,2,12,14,9,7,5,1,4,14,5,7,4,9,7,26,2,3,3,1,6,2,3,2,5,8,2,11,0,5,3,8,0,2,0,1,59,30,0,14,17,2,1,5,6,18,31,34,10,3,6,40,9,18,7,16,93,140,7,76,28,10,3,12,9,17,43,5,24,6,9,1,12,9,0,3,4,1,36,6,0,8,5,2,0,3,3,3,0,0,0,3,2,3,0,8,17,17,0,37,11,7,3,0,3,3,6,2,6,1,4,3,2,4,0,11,23,19,2,14,70,3,0,3,27,37,17,13,1,9,17,8,10,14,4,2,5,0,7,4,6,119,18,13,5,5,10,13,12,14,6,10,7,8,12,5,5,5,11,13,4,15,67,26,7,2,6,12,3,10,11,14,4,9,2,5,8,9,3,13,7,11,14,34,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,2,4,2,0,0,1,5,15,2,2,4,2,38,7,0,1,20,35,4,28,7,1,3,17,1,3,4,8,88,35,3,38,14,19,3,18,4,6,112
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,16,40,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,48,24,0,12,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,16,32,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,8,0,0,0,0,0,0,32
14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0,6,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,10,0,6,5,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,5,10,0,4,5,0,0,0,0,2,3,0,4,0,0,0,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,10
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,70,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,24,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,8,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,1,0,0,13,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,0,18,0,12,0,0,0,0,8,0,12,0,0,0,6,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,2,0,1,0,6,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,8
28,0,0,0,3,2,1,19,5,3,1,5,0,0,7,7,6,2,0,11,11,33,0,1,11,7,10,8,5,1,4,7,7,0,41,6,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,42,0,0,2,1,3,0,0,0,0,0,16,5,19,0,0,0,2,0,0,0,9,0,0,1,0,1,2,0,0,0,3,0,0,0,0,4,2,5,0,4,0,8,1,5,5,0,0,3,0,0,11,3,1,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,12,3,23,2,0,1,0,136,5,0,0,6,2,0,15,6,10,0,0,0,1,5,3,4,1,4,4,4,19,0,0,2,2,0,10,2,4,0,6,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,3,2,3,0,0,1,3,0,2,1,4,33,3,16,0,39,1,6,6,0,4,1,13,0,2,0,14,21,21,2,0,0,19,0,0,17,8,11,4,3,0,0,0,0,0,0,2,1,0,0,2,3,2,7,0,0,0,0,0,0,2,1,0,0,1,0,0,1,3,0,0,0,0,0,15,11,0,0,1,5,0,3,0,0,0,0,2,1,0,4,6,0,0,1,0,87,1,0,0,0,0,21,2,8,9,3,5,4,19,4,3,3,5,2,0,49,27,17,2,1,6,3,3,21,2,2,0,0,5,7,1,6,0,5,0,24,10,40,0,0,11,0,0,1,5,0,0,0,0,0,0,0,2,0,0,5,0,1,10,2,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,2,0,34,2,0,0,6,5,0,3,2,18,20,1,2,0,25,0,13,10,24,34
38,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,5,30,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,22,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,6,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,16,32,0,16,0,0,0,0,0,0,8,0,4,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,10,35,0,0,0,0,0,0,0,0,0,0,21,7,0,7,0,0,0,0,0,0,28
